;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_korea_title;Annex Korea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_korea_desc;Preserving the independence of Korea is too costly. If the 'line of advantage' is to be maintained, we must push our borders well beyond their current sphere. Korea must be turned into a protectorate of the Empire, for its own good as well as ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
claim_korea_title;Claim Korea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_korea_desc;With Korea under foreign rule, our nation feels threatened. The 'line of advantage' means that protecting our borders means extending our influence beyond them, and thus we must move to claim the Korean peninsula and wrest it from those who hold it in their grasp-- in the name of Korean freedom, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
order_to_expel_barbarians_title;Order to Expel Barbarians;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
order_to_expel_barbarians_desc;Since the ascension of the Tokugawa Shogun, the role of the Emperor has been confined to that of figurehead. We lead Japan, yet we do not. Recently, the leadership of the Shogun has come into question. His increasing inability to deal with foreigners in a way that shows any manner of leadership compels the Emperor to act-- with or without the Shogun's permission. We shall send out a call to the people in our own name, demanding they rise up and throw out the foreigners that the Shogun will not.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
peace_with_the_emperor_title;Peace With the Emperor;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
peace_with_the_emperor_desc;Since the ascension of the Tokugawa Shogun, the Emperor has remained a figurehead. Even so, he is a leader of the Japanese people and, at times, has expressed dissatisfaction with our own position as ruler of Japan. This has caused conflict, and should we reach a point where our positions are not so different-- and, indeed, the Emperor is satisfied with our ability to rule, perhaps we can bring this conflict to an end once and for all.;;;;;;;;;;;;;x,,,,,,,,,,,,,,
unite_the_daimyos_title;Unite the Daimyos;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_the_daimyos_desc;With the daimyos under our complete dominance, we will be in a position to fully bring them under the government's control. The divisions maintained by the han system weaken us as a whole-- the Shogunate must be strong and united if it is to move forward as a world power.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_shimonoseki_title;Treaty of Shimonoseki;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_shimonoseki_desc;With the Chinese resistance crumbling, we are in a position to gain advantage-- namely the island of Formosa and reparations, not to mention proving our own superiority in the conflict.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
anglo_japanese_alliance_title;The Anglo-Japanese Alliance;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
anglo_japanese_alliance_desc;With mutual enemies among the Great Powers, perhaps it is best if the British Empire and our nation work together.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
austrian_form_south_german_confederation2_title;Become the South German Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
austrian_form_south_german_confederation2_desc;While Germany was not united until the proclamation of the German Empire, following the Franco-Prussian war, rising nationalism in the 19th century had meant that unification had been on the cards long before that, with the Frankfurt assembly of 1848 being an important forerunner. By achieving a dominant position among the South German states, we can form the South German Confederation.;Il fallut attendre la proclamation de l'Empire allemand qui suivit la guerre franco-allemande pour assister ?l'unification de l'Allemagne. Pourtant, avec la mont? du nationalisme au XIXe si?le, l'unification aurait ??possible bien avant cela, comme en t?oigne l'assembl? de Francfort de 1848. En nous imposant dans les ?ats du sud, nous formerons les ?ats du sud de l'Allemagne.;Obwohl Deutschland bis zur Proklamation des Deutschen Kaiserreichs nach dem deutsch-franz?ischen Krieg nicht geeint war, bedeutete der steigende Nationalismus des neunzehnten Jahrhunderts, dass eine Vereinigung schon seit langer Zeit geplant war. Ein wichtiges vorbereitendes Ereignis war die Frankfurter Nationalversammlung von 1848. Wenn wir uns eine dominierende Position unter den norddeutschen Staaten erarbeiten, k?nen wir den S?deutschen Bund gr?den.;;Aunque Alemania no estuvo unida hasta la proclamaci? del Imperio Alem?, tras la guerra franco-prusiana, el nacionalismo emergente del siglo XIX puso de relieve que la unificaci? era inevitable. La asamblea de Frankfurt de 1848 supuso un importante precedente. Al alcanzar una posici? dominante entre los estados germanos meridionales, podemos formar la Confederaci? de Alemania del Sur.;;;;;;;;;x;;,,,,,,,,
austrian_form_south_german_confederation_title;Create the South German Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
austrian_form_south_german_confederation_desc;With our dominant position over the south German states, we can create the South German Confederation -- a union that would be under our full control, and a more useful ally than the nations separately.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
mediate_belgian_independence_title;Mediate Belgian Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
mediate_belgian_independence_desc;While Belgium's de facto independence from The Netherlands had been established by force of arms during the Belgian revolution of 1831, it has not been confirmed de jure by The Netherlands and technically a state of war still exists between the two nations. The idea has arisen that the British Empire should step in and mediate a settlement, demanding the Dutch give up their claims in return for guarantees of Belgian independence and control over Luxembourg. With the powers of Europe at the table, it seems unlikely the Dutch would refuse.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
organize_libya_TUR_title;Organize Libya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_libya_TUR_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reorganize_libya_title;Claim Libya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_libya_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_algeria_title;Organize Algeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_algeria_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_uganda_title;Organize Uganda;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_uganda_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_zanzibar_title;Organize Zanzibar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_zanzibar_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_botswana_title;Organize Bechuanaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_bostwana_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_sudan_title;Organize Sudan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_sudan_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_ghana_title;Organize Ghana;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_ghana_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_mauretania_title;Organize Mauretania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_mauretania_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_dahomey_title;Organize Dahomey;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_dahomey_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
move_capital_to_accra_title;Move Capital to Accra;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_accra_desc;Accra provides a better capital for our nation-- we should move the government there at once.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
convention_of_peking_title;The Peking Convention;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
convention_of_peking_desc;Since the Treaty of Nerchinsk (1689), the Russian Empire has recognized the Aigun river and the Stanovoy mountains as the natural frontiers between Russia and China. There are many within the government, however, who believe it would be in our best interest to access a southern port upon the Sea of Japan -- namely the Chinese city of HaIshenwai. Considering the Chinese only barely control their northeastern provinces, it seems within our right to negotiate for their control?and with their state of turmoil now if the best time to approach them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
peking_convention_TPG_title;The Peking Convention;La convention de P?in.;Die Pekinger Konvention;;La convenci? de Pek?;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
peking_convention_TPG_desc;Since the Treaty of Nerchinsk (1689), the Russian Empire has recognized the Argun river and the Stanovoy mountains as the natural frontiers between Russia and China.  In the mid 19th century the Russians would expand beyond this border to seize the vast lands between the Stanovoy Mountains and the Amur River. The Western Allies would later bring the Second Opium War to a conclusion by burning the Chinese Emperor's summer palaces, and entering Beijing. A cunning major general named Nikolay Ignatiev was able to convinced the Chinese that only Russian support would cause the allies to evacuate Peking. The price for this support was the Convention of Peking, which confirmed Muravyov's gains and, additionally, ceded territory between the Ussuri River and the Pacific to Russia. Thus, Russia had gained some 350,000 square miles of territory without firing a single shot.;Depuis le trait?de Nerchinsk (1689), l묮mpire russe a reconnu le fleuve Argun et les monts Stanovoy comme fronti?e naturelle entre la Russie et la Chine.  Au cours du XIXe si?le, les Russes franchirent cette fronti?e pour s뭙mparer des vastes territoires entre les monts Stanovoy et le fleuve Amour. Les Puissances occidentales mirent plus tard un terme ?la seconde guerre de l뭥pium en br?ant les palais d믧t?de l뭙mpereur et en s뭙mparant de P?in. Un g??al russe avis?du nom de Nicola?Ignatiev parvint ?convaincre les chinois que seul le soutien de la Russie permettrait l'?acuation de P?in par les alli?. Le prix de ce soutien fut la convention de P?in, qui ent?inait les conqu?es de Muravyov et c?ait ?la Russie les territoires entre le fleuve Ussuri et la c?e pacifique. Ainsi, la Russie gagna-t-elle 560?00 kilom?res carr? sans tirer un coup de fusil.;Seit dem Vertrag von Nertschinsk (1689) hatte das russische Reich den Fluss Argun und das Stanowoigebirge als nat?liche Grenze zwischen Russland und China betrachtet. Mitte des 19. Jahrhunderts wollten die Russen diese Grenze erweitern, um das weitr?mige Gebiet zwischen dem Stanowoigebirge und dem Fluss Amur zu annektieren. Sp?er beendeten die westlichen Alliierten den zweiten Opiumkrieg durch Niederbrennen der Sommerpal?te des chinesischen Kaisers und marschierten in Peking ein. Der gerissene Generalmajor Nikolai Ignatjew konnte die Chinesen ?erzeugen, dass sie die Westm?hte nur mit russischer Unterst?zung zum Abzug bewegen k?nen w?den. Der Preis f? diese Unterst?zung war die Pekinger Konvention, die Murawjows Forderungen best?igte und Russland zus?zlich noch das Territorium zwischen dem Fluss Ussuri und dem Pazifik zusprach. Russland hatte sich also einen Gebietsgewinn von 350000 Quadratmeilen verschafft, ohne einen einzigen Schuss daf? abzufeuern.;;Desde el tratado de Nerchinsk (1689), el imperio ruso siempre hab? reconocido el r? Argun y la cordillera de Stanovoy como fronteras naturales entre Rusia y China.  A mediados del siglo XIX, los rusos se expandir?n m? all?de esta frontera para apoderarse de los vastos territorios situados entre las monta?s Stanovoy y el r? Amur. M? adelante, los pa?es occidentales pondr?n fin a la Segunda Guerra del Opio incendiando los palacios estivales del emperador de China y ocupando Pek?. Un astuto general llamado Nikolay Ignatiev logr?convencer a los chinos de que solo el apoyo de Rusia obligar? a los aliados a evacuar la capital. El precio de este apoyo fue la convenci? de Pek?, donde se confirmaron las ganancias obtenidas por Muravyov y, adem?, China cedi?a Rusia nuevos territorios entre el r? Ussuri y el Pac?ico. De este modo, Rusia adquiri?unas 350.000 millas cuadradas de territorio sin tener que disparar un solo tiro.;;;;;;;;;x
mongolian_protectorate_title;The Mongolian Protectorate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
mongolian_protectorate_desc;Our influence in Mongolia is such that we are in a position to pry the nation away from the Chinese and into our control. They would be our vassals, benefiting from protection against Chinese claims on their land.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
valparaiso_harbor_title;The Jewel of the Pacific;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
valparaiso_harbor_desc;Valparaiso has became a required stopover for ships crossing between the Atlantic and Pacific oceans. In its role as a major seaport, Valparaiso receives immigrants from many European countries, but this could change if a new route was to open.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
annex_easter_island_title;Annex Easter Island;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_easter_island_desc;The native population of Easter Island has suffered many devastations in recent years, from attacks by Peruvian pirates to a tuberculosis epidemic. A colonist has operated a sheep ranch there for some years, and recently offered to sell to our government. Considering his ranch covers a large portion of the island, we would be well within our rights to claim sovereignty over it.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
declare_neutrality_title;Declare Swiss Neutrality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
declare_neutrality_desc;The Swiss have little interest in the wars of Europe.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_neutrality_title;Abandon Swiss Neutrality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
abandon_neutrality_desc;The might of the Swiss army is such that we can repel our neighbors without difficulty. Our policy of neutrality is no longer necessary.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
violate_neutrality_title;Violate Swiss Neutrality;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
violate_neutrality_desc;The Swiss may have declared themselves 'neutral', but if they believe that will stop us-- if they believe the opinion of any of their allies will stop us-- then they are sorely mistaken.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
build_addis_ababa_title;Build Addis Ababa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
build_addis_ababa_desc;Founded in 1886 by Emperor Menelik II, Addis Ababa would become the capital of Ethiopia and the site of the Imperial Palace.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
eth_mission_to_cairo_title;Mission to Cairo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
eth_mission_to_cairo_desc;The strained relations between Ethiopia and Egypt must come to an end. We each have our respective lands, and truly there is no reason for us to fight. At worst, continued conflict will leave both our nations weak to exploitation by foreign powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
belize_purchase_title;Belize Purchase;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
belize_purchase_desc;We are interested in purchasing Belize from Great Britain and integrating it into the United States of Central America. As such, we have have sent delegates overseas to London and are currently awaiting a reply.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_the_ikhwan_title;Alliance with the Wahhabists;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_the_ikhwan_desc;An alliance with the Wahhabist religious order among the Bedouins will give us precisely the force we need to unite Arabia under our rule.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_flanders_title;Become Flanders;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_flanders_desc;Without the Wallonians,it is time for the Flemish to rule once again.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_wallonia_title;Become Wallonia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_wallonia_desc;Without the Flemish,it is time for the Wallonian flag to fly once more.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_belgium_FLA_title;Unite Belgium;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_belgium_FLA_desc;The Flemish and the Wallonians may re-unite under a single flag. Long live Belgium!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_belgium_WLL_title;Unite Belgium;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_belgium_WLL_desc;The Flemish and the Wallonians may re-unite under a single flag. Long live Belgium!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
colonial_destiny_title;Colonial Destiny;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
colonial_destiny_desc;It is the destiny of the Belgian people to civilize the last remaining wilds of the world. To Africa!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
self_strengthening_movement;Self-Strengthening Movement;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
self_strengthening_movement_title;Self-Strengthening Movement;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
self_strengthening_movement_desc;We cannot take a back seat to the western nations. We must make strides towards modernizing, no matter the cost!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
ultimatum_to_portugal_title;Send Ultimatum to Portugal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ultimatum_to_portugal_desc;It is in the British government's best interests to expand our colonies in southern Africa northwards. This will be impossible if the Portuguese complete their dreams of the 'Pink Map' by connecting Angola and Mozambique. We must make our demand or face the possibility of surrendering central Africa to other powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_nanking_title;Treaty of Nanking;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_nanking_desc;Using our new influence with the Chinese government, we can force them to the table and extract trade and territory concessions-- not the least of which will be the cession of Hong Kong, a valuable port to possess on the southern seas.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
simla_convention_title;The Simla Convention;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
simla_convention_desc;Now that Tibet is a free nation, it might be prudent for our government to step forward and broker an arrangement. Tibet could be a useful ally, and anything that weakens the Chinese government is not an opportunity to pass up.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
demand_retreat_from_india_title;Demand Retreat From India;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_retreat_from_india_desc;The majority of India has been wrested from British control. A choice is upon us: either demand their retreat from the sub-continent, freeing all their vassals and annexed lands, or continue our war and hope to achieve our current goals. A British retreat may result in chaos, and we certainly would not attain the war goals we have in play, but it would at least take the British out of the equation for the years to come.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
join_fsa_title;Join the FSA;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_fsa_desc;The people have called on us to unite under the new FSA banner. Long live the Sons of Liberty!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_new_csa_title;Join the Confederacy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_new_csa_desc;The people have called on us to unite under the new Confederate banner. Long live the South!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_algiers_title;Move Capital to Algiers;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
move_capital_to_algiers_desc;Algiers now belongs to us. It is time to move our government back to its proper place!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_assyria_title;Claim Greater Assyria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_assyria_desc;Our people lie scattered  under the rule of foreign nations-- we must bring them under our banner and reclaim the lands which were once ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
chuang_guangdong_title;Chuang Guandong;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
chuang_guangdong_desc;Literally 'Crashing into Guandong', this was the a policy brought into place by the Qing government which brought down the barrier to non-Manchu settlement in the northeastern frontier. With the loss of Outer Manchuria, it is vital that the frontier be populated by settlers to prevent further expansion into Chinese territory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reclaim_palestine_title;Reclaim Palestine;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_palestine_desc;The Israelis have unlawfully occupied our lands. Now is the time to reclaim them for Palestine!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME20110;Natives in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC20110;A recent demonstration in $PROVINCENAME$ has brought attention to the plight of natives in $STATENAME$, namely to their oppression by the $COUNTRY_ADJ$ government and their demands for independence. If something isn't done soon we may be facing intervention by foreign powers.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTNAME20111;Trouble in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC20111;A recent riot in $PROVINCENAME$ has brought a great deal of attention to $STATENAME$-- the kind that would normally prompt the great powers to consider intervention. It seems, however, that the demands for independence by 'uncivilized' peoples has largely fallen on deaf ears. News of the trouble has faded away as quickly as it began.;;;;;;;;;;;;x,,,,,,,,,,,
EVTNAME20112;Long Memories;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC20112;While recent trouble in $STATENAME$ has raised the spectre of foreign intervention once again, there are many who remember the last crisis over $STATENAME$'s people as if it were yesterday. Try as they might, the world is simply not ready to listen to them again-- yet.;;;;;;;;;;;;x,,,,,,,,,,,
EVTNAME20115;Incident in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC20115;A demonstration by $PROVINCECULTURE$ citizens in $PROVINCENAME$ quickly got out of hand as $COUNTRY_ADJ$ soldiers shot into the crowd to disperse it. A riot ensued, and several protestors were slain. Throughout $STATENAME$, the reaction has been one of outrage-- and there is an effort by some $PROVINCECULTURE$ malcontents to draw the attention of the world, just one more example of $COUNTRY$'s disregard for peace and civilized behavior-- or so they'll say.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME32520;The Eastern Islands;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC32520;The islands of Sakhalin and the Kurils are a natural extension of our holdings in Okhotsk and Kamchatka, and we must seek to claim these lands before the Japanese do.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTNAME32521;Treaty of Shimoda;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC32521;Vice-Admiral Yevfimy Putiatin has sailed from Russia to $COUNTRY$ on a mission to establish formal relations and to define the borders between our respective territories. After months of negotiation, we have agreed to open three ports to Russian merchants and to guarantee Russian ships access through $COUNTRY_ADJ$ waters and straits. Both sides have agreed that our borders in the Kuril Islands lay just north of Etorofu, and propose to share sovereignty over Sakhalin Island. The finished treaty was signed on February 7th, $YEAR$ in Shimoda.;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA32521;May our empires prosper together!;;;;;;;;;;x,,,,,,,,,,,,,
EVTNAME32522;Trouble in Sakhalin;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC32522;Conflict is brewing in Sakhalin. Shared sovereignty has failed, and with no official border between the Russian and Japanese claims, settlers from both sides now fight over territory. For stability's sake, we must clearly define our borders, once and for all. There are several solutions we could propose: first, we could officially divide the island between us and Japan, essentially legalising the status quo. This would be generous of us, and it would improve our relations with Japan. Second, we could push for full control of Sakhalin, offering in return to concede the northern Kuril Islands and make resettlement payments to those displaced. This would represent a modest profit, but Japan might not agree to it. Finally, we could demand full control of Sakhalin and offer nothing in return. This would hurt our reputation, and it would badly offend the Japanese, who would probably refuse. How should our diplomats proceed?;;;;;;;;;;;;x
EVTDESC32523;It seems that conflict is brewing in Sakhalin. Shared sovereignty has failed, and with no official border between the Russian claims and ours, settlers from both sides now fight over territory. The Russian recently approached us, all smiles and willingness to co-operate. They have offered to make the current status quo official: Sakhalin will have a border drawn dividing it in two. Considering the fact they could have forced the issue, it seems they want us to be friends rather than enemies.;;;;;;;;;;x,,,,,,,,,
EVTDESC32524;It seems that conflict is brewing in Sakhalin. Shared sovereignty has failed, and with no official border between the Russian claims and ours, settlers from both sides now fight over territory. For stability's sake, we must clearly define our borders, once and for all. Now the Russians have proposed an exchange of border territories: we would give them complete control of Sakhalin, and in return they would cede the northern Kuril Islands all the way to Kamchatka. Russia has also offered to make resettlement payments to help Japanese to relocate from Sakhalin. We can accept their proposal, or we can insist on preserving the present borders in Sakhalin.If we accept, we will lose a modest territory but improve relations with Russia. On the other hand, if we insist on the status quo, we will keep our present territory but risk escalating the conflict.;;;;;;;;;;;;x,,,,
EVTDESC32525;It seems conflict is brewing in Sakhalin. Shared sovereignty has failed, and with no official border between the Russian claims and ours, settlers from both sides now fight over territory. For stability's sake, we must clearly define our borders, once and for all. Now the Russians have outrageously demanded that we give them full control of Sakhalin, in exchange for nothing! Their negotiators hint darkly at Russian ships shelling Japanese ports if we should refuse. We can accept their proposal, or we can insist on preserving the present borders in Sakhalin. If we give in, we will lose a promising colony and look weak to other nations. But, if we insist on the status quo, the conflict is likely to escalate into open war.;;;;;;;;;;;;x,,,,
EVTNAME32526;Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC32526;The Japanese have refused our proposal, and they now insist that they will settle for nothing less than the present division of Sakhalin. We can back down and accept the status quo, or we can use force to get our way. If we accept the status quo after reaching for more, we will look weak to the other Powers, though relations with Japan will be preserved. But, our only other option now is to declare aggressive war for the islands, which will hurt our reputation abroad.;;;;;;;;;;;;x,,,,,,,
EVTNAME32527;Treaty of Saint Petersburg;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC32527;The treaty has been signed! Our borders in Sakhalin and the Kurils are now settled, and ships from both empires have been guaranteed access through the Strait of Tartary and the Sea of Okhotsk. This should ease tensions in the region considerably and ensure close diplomatic ties between our nations.;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC32528;The war for Sakhalin is lost! Russia has been compelled to acknowledge Japan's sovereignty over the south of the island. One day, we will make this right --- but, for now, we are beaten.;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC32529;The war for Sakhalin is won! We have successfully defended ourselves against Russia's misguided aggression, and the Russians have been forced into a treaty acknowledging Japanese sovereignty. Peace has been restored to Sakhalin!;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC32530;The war for Sakhalin is won! Russia has enforced its rule over the entire island, and the Japanese have been forced into a treaty renouncing their claims. Peace has been restored to Sakhalin!;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC32531;The war for Sakhalin is lost! We have been compelled to agree to a humiliating peace and acknowledge Russia's sovereignty. One day, we will make this right --- but, for now, we are beaten.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME33030;The German East Africa Company;;;;;;;;;;;;x,,,,,,,,,,,,,
EVTDESC33030;The Society for German Colonization has been attempting to colonize the Zanzibar coast for several years now, having formed the German East Africa company and signed several treaties with Swahili tribes. It now seems they are facing difficulty with rebellions and have asked us to step in. The Sultan of Zanzibar will doubtlessly object if we do, as he claims authority over the coast -- even if his actual authority is minimal -- but so what if he does? This may be an interesting opportunity.;;;;;;;;;;;;x,,,,,,,,,,,
EVTNAME33031;German Warships!;;;;;;;;;;;;x,,,,,,,,,,,,,
