KEYNAME;TEXT;TEXT;;;;;;;;;;;;x;
news1;$TAG_2_0$ 정부의 평화제의 조건: $STRING_0_1$;The government of $TAG_2_0$ offered the peace with the following terms: $STRING_0_1$;;;;;;;;;;;;x;
INVENTION_NEWS_SMALL;$TAG_0_0$ 과학자와 기술자들이 $STRING_0_1$ 의 발명에 성공했음을 보고했다. ;Scientists and engineers in $TAG_0_0$ are reported to have invented $STRING_0_1$. ;;;;;;;;;;;;x;
INVENTION_SUFFIX1;계속 앞으로 나아갈 것이다!;Progress marches ever onwards!;;;;;;;;;;;;x;
INVENTION_SUFFIX2;미래의 진정한 빛이다!;Truely the light of the future!;;;;;;;;;;;;x;
INVENTION_SUFFIX3;우리 모두를 파멸로 이끌 것이다!;This may doom us all!;;;;;;;;;;;;x;
INVENTION_SUFFIX4;여러분, 희소식입니다!;Good news, everyone!;;;;;;;;;;;;x;
INVENTION_SUFFIX5;새로운 시대의 새벽이다!;This is the dawn of a new age!;;;;;;;;;;;;x;
INVENTION_SUFFIX6;오늘의 진보는 어제의 계획이었다.;Today's progress was yerterday's plan.;;;;;;;;;;;;x;
INVENTION_SUFFIX7;우리는 그들이 좋은 일에 사용하길 바란다.;Let us hope they use it for good.;;;;;;;;;;;;x;
INVENTION_SUFFIX8;과학은 잠들지 않는다!;Science never sleeps!;;;;;;;;;;;;x;
INVENTION_SUFFIX_LONG1; 허나 그 비용은?; But at what cost?;;;;;;;;;;;;x;
INVENTION_SUFFIX_LONG2; 그들은 다음엔 어떤 것을 구상할까?; Whatever will they think of next?;;;;;;;;;;;;x;
INVENTION_SUFFIX_LONG3; 이해하기 쉽지 않다.; It will never catch on.;;;;;;;;;;;;x;
INVENTION_SUFFIX_LONG4; 그들은 분명히 우리 발상을 훔쳤다.; They clearly stole the idea from us.;;;;;;;;;;;;x;
PARTY_NEWS_TITLE_LARGE;새 정당 $TAG_0_0_UPPER$ 창당;NEW POLITICAL PARTY IN $TAG_0_0_UPPER$;;;;;;;;;;;;x;
PARTY_NEWS_LARGE;$STRING_0_2$ $STRING_0_0$ 정당이 $TAG_0_0$ 에서 새롭게 창당했다. '우리는 현재 새 당원을 모집하고 있는 중이며, 조직화의 구조적지지는 모든 근대 정당에서 요구되고 있습니다.'라고 당 관계자는 언급했다. 불만가득한 운동가들과 다른 집단에 환멸을 느끼는 구성원들을 통합한 새 정당은 전국 대회를 일정에 잡았으며, 그곳에서 그들의 대표 선출과 정견을 합의 할 계획이다. 그들은 모든 가능성에도 불구하고 집권 가능성에 대해 여전히 긍정적이라고 주장했다.;A new $STRING_0_2$ political party, the $STRING_0_0$, has been formed in $TAG_0_0$. 'We're currently in the process of recruiting new members and organizing the support structure every modern political unit requires', a party official commented. Uniting disgruntled activists and disillusioned members of other outfits, the new party announced to have scheduled a national convention, where they plan to elect their representatives and agree on the platform. They claim to remain optimistic about ever coming to power despite all odds.;;;;;;;;;;;;x;
PARTY_NEWS_TITLE_MEDIUM;새 정당 $TAG_0_0_UPPER$ 창당;NEW POLITICAL PARTY IN $TAG_0_0_UPPER$;;;;;;;;;;;;x;
PARTY_NEWS_MEDIUM;$STRING_0_2$ $STRING_0_0$ 정당이 $TAG_0_0$ 에서 새롭게 창당햇다. '우리는 현재 새 당원을 모집하고 있는 중이며, 조직화의 구조적지지는 모든 근대 정당에서 요구되고 있습니다.'라고 당 관계자는 언급했다. 불만가득한 운동가들과 다른 집단에 환멸을 느끼는 구성원들을 통합한 새 정당은 전국 대회를 일정에 잡았다.;A new $STRING_0_2$ political party, the $STRING_0_0$, has been formed in $TAG_0_0$. Uniting disgruntled activists and disillusioned members of other outfits, the new party announced to have scheduled a national convention.;;;;;;;;;;;;x;
PARTY_NEWS_TITLE_SMALL;새 정당;New Party;;;;;;;;;;;;x;
PARTY_NEWS_SMALL;$STRING_0_2$ $STRING_0_0$ 정당이 $TAG_0_0$ 에서 새롭게 창당되었다. 그들은 모든 가능성에도 불구하고 집권 가능성에 대해 여전히 긍정적이라고 주장했다.;A new $STRING_0_2$ political party, the $STRING_0_0$, has been formed in $TAG_0_0$. They claim to remain optimistic about ever coming to power despite all odds.;;;;;;;;;;;;x;
PROVINCE_NEWS_TITLE_LARGE;$TAG_0_1_UPPER$ 편입!;$TAG_0_1_UPPER$ EXPANDS!;;;;;;;;;;;;x;
PROVINCE_NEWS_LARGE;$STRING_0_0$ 지역을 $TAG_0_1$에 편입했다. $TAG_0_1$ 의 외무부 장관은 '$STRING_0_0$ 지역은 $TAG_0_1$ 의 필수적인 부분'이라며 '$TAG_0_0$ 측이 어떤 주장을 하던간에 이제 우리의 손을 떠나지 않을 것'이라고 밝혔다.;The province of $STRING_0_0$ now belongs to $TAG_0_1$. The foreign minister of $TAG_0_1$ has stated that '$STRING_0_0$ is an integral part of $TAG_0_1$' and that '$TAG_0_0$ has no claim to it now it is back in our rightful hands'.;;;;;;;;;;;;x;
PROVINCE_NEWS_TITLE_MEDIUM;$TAG_0_1_UPPER$ 편입!;$TAG_0_1_UPPER$ EXPANDS!;;;;;;;;;;;;x;
PROVINCE_NEWS_MEDIUM;$STRING_0_0$ 지역을 $TAG_0_1$에 편입했다. $TAG_0_1$ 의 외무부 장관은 '$STRING_0_0$ 지역은 $TAG_0_1$ 의 필수적인 부분'이라고 말했다.;The province of $STRING_0_0$ now belongs to $TAG_0_1$. The foreign minister of $TAG_0_1$ has stated that '$STRING_0_0$ is an integral part of $TAG_0_1$'.;;;;;;;;;;;;x;
PROVINCE_NEWS_TITLE_SMALL;$TAG_0_1$ 편입!;$TAG_0_1$ Expands!;;;;;;;;;;;;x;
PROVINCE_NEWS_SMALL;$STRING_0_0$ 지역을 $TAG_0_1$에 편입했다. $TAG_0_1$ 의 외무부 장관은 인터뷰에서 만족감을 표했다.;The province of $STRING_0_0$ now belongs to $TAG_0_1$. The foreign minister of $TAG_0_1$ looked rather pleased in a recent interview.;;;;;;;;;;;;x;
RESEARCH_NEWS_TITLE_LARGE;$TAG_0_0$ 연구 완료!;$TAG_0_0$ research complete!;;;;;;;;;;;;x;
RESEARCH_NEWS_LARGE;$TAG_0_0$ 과학자는 최근 $STRING_0_1$ 에 대한 연구를 완료했다. 이 획기적인 연구는 $TAG_0_0$ 에 많은 이점을 가져다 주었다. 획기적인 발명품이 이 분야에서 계속 나오기 위해선 $TAG_0_0$ 에서 이후에도 지속적인 투자를 해야 할 것이다.;Scientists in $TAG_0_0$ have recently completed research into $STRING_0_1$. This breakthrough is sure to offer $TAG_0_0$ many advantages in the days to come as further inventions take place in this field.;;;;;;;;;;;;x;
RESEARCH_NEWS_TITLE_MEDIUM;$TAG_0_0$ 연구 완료!;$TAG_0_0$ research complete!;;;;;;;;;;;;x;
RESEARCH_NEWS_MEDIUM;$TAG_0_0$ 과학자는 최근 $STRING_0_1$ 에 대한 연구를 완료했다. 이 획기적인 연구는 $TAG_0_0$ 에 많은 이점을 가져다 주었다. 획기적인 발명품이 이 분야에서 계속 나오기 위해선 $TAG_0_0$ 에서 이후에도 지속적인 투자를 해야 할 것이다.;Scientists in $TAG_0_0$ have recently completed research into $STRING_0_1$. This breakthrough is sure to offer $TAG_0_0$ many advantages in the days to come as further inventions take place in this field.;;;;;;;;;;;;x;
RESEARCH_NEWS_TITLE_SMALL;$TAG_0_0$ 연구 완료!;$TAG_0_0$ research complete!;;;;;;;;;;;;x;
RESEARCH_NEWS_SMALL;$TAG_0_0$ 과학자는 최근 $STRING_0_1$ 에 대한 연구를 완료했다.;Scientists in $TAG_0_0$ have recently completed research into $STRING_0_1$.;;;;;;;;;;;;x;
WAR_NEWS_TITLE_LARGE;$TAG_0_0_UPPER$ 대 $TAG_0_1_UPPER$ 전쟁 발발!;WAR BETWEEN $TAG_0_0_UPPER$ AND $TAG_0_1_UPPER$!;;;;;;;;;;;;x;
WAR_NEWS_LARGE;$DATE_LONG_0$, $TAG_0_0$ 측은 $TAG_0_1$ 측과 전쟁에 돌입했음을 선포했다. $TAG_0_0$ 의 외무부 장관은 기자들의 질문에 $STRING_0_1$ 의 이유를 들어 전쟁을 해야할 필요성을 언급했다. '우리는 이전에 부당하게 요구당했던 것을 되찾고, 이 지역에 평화와 질서를 회복하기 위함' 이라고 답했다. $TAG_0_1$ 에서는 '이 불법적인 침략에 가만히 당하지는 않을 것'이라며 침략을 비난했으며, 국제 사회에 침략자를 규탄하기를 호소했다.;On $DATE_LONG_0$ $TAG_0_0$ announced that a state of war now exists between them and $TAG_0_1$. The foreign minister of $TAG_0_0$, when asked for the reasons war had been declared stated the need to '$STRING_0_1$'. 'We only intend to reclaim what was unjustly claimed before and restore peace and order to the region', he added. 'This unlawful aggression will not stand' his counterpart in $TAG_0_1$ responded, demanding international community to condemn the aggressor. May God have mercy on them all.;;;;;;;;;;;;x;
WAR_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$ 전쟁 선포!;$TAG_0_0_UPPER$ GOES TO WAR!;;;;;;;;;;;;x;
WAR_NEWS_MEDIUM;$DATE_LONG_0$, $TAG_0_0$ 측은 $TAG_0_1$ 측과 전쟁상태에 돌입했음을 발표했다. $STRING_0_1$ 의 이유로 전쟁을 선포하였다. $TAG_0_1$ 의 외무부 장관은 '이 불법적인 침략에 가만히 당하지는 않을 것'이라고 답했다.;On $DATE_LONG_0$ $TAG_0_0$ announced that a state of war now exists with $TAG_0_1$. The stated reason for this declaration is to '$STRING_0_1$'. 'This unlawful aggression will not stand' the foreign minister of $TAG_0_1$ commented.;;;;;;;;;;;;x;
WAR_NEWS_TITLE_SMALL;$TAG_0_0_$ 전쟁!;$TAG_0_0_$ at War!;;;;;;;;;;;;x;
WAR_NEWS_SMALL;$DATE_LONG_0$, $TAG_0_0$ 측은 $TAG_0_1$ 측과 전쟁상태에 돌입했음을 발표했다.;On $DATE_LONG_0$ $TAG_0_0$ announced that a state of war now exists with $TAG_0_1$.;;;;;;;;;;;;x;
KEYNAME;TEXT;TEXT;;;;;;;;;;;;x;
