CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AT_WAR_TENSION_DECAY;$COUNTRY$ 전시 상황: 쬨$VAL$쬦;$COUNTRY$ is at war: 쬨$VAL$쬦;$COUNTRY$ befindet sich im Krieg: 쬨$VAL$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;두 국가의 여단 수 차이 > 쬨$VAL$쬦\n;Brigades comparison factor of two countries is at least 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;두 국가의 여단 수 차이 < 쬨$VAL$쬦\n;Brigades comparison factor of two countries is less than 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_PEOPLE_IDEOLOGIES;국민들의 이념;Peoples' Ideologies;Id쬦l. de la population;Volksideologien;;Ideolog쬦s populares;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_PLURALITY_TOOLTIP;다양성: $PERCENT$%\n;Our plurality is $PERCENT$%.\n;Notre pluralit쬦est de $PERCENT$%.\n;Unsere Pluralit쬦 ist $PERCENT$%.\n;;Tenemos una pluralidad del $PERCENT$%.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_POLITICAL_REFORMS;정치개혁;Political Reforms;R쬦ormes politiques;Politikreformen;;Reformas pol쬦icas;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_REBELS;반란;Rebels;Rebelles;Rebellen;;Rebeldes;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_REFORMS;개혁;Reforms;R쬦ormes;Reformen;;Reformas;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_RELEASE_NATIONS;해방;Release Nations;Nations lib쬦ables;Nationen entlassen;;Liberar naciones;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_RELEASE_VASSAL;해방;Release Nation;Lib쬦er une nation;Nation entlassen;;Liberar Naci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_RELEASE_VASSAL_DESC;쬨$TAG$쬫의 권역: 쬨$PROVINCES$쬦(쬨$NUM$쬦개);쬨$TAG$쬫 will receive the following 쬨$NUM$쬫 province(s): 쬨$PROVINCES$쬫;쬨$TAG$쬫 recevra 쬨$NUM$쬫 province(s) : 쬨$PROVINCES$쬫;쬨$TAG$쬫 erh쬦t die folgende(n) 쬨$NUM$쬫 Provinz(en): 쬨$PROVINCES$쬫;;쬨$TAG$쬫 recibir쬦las siguientes 쬨$NUM$쬫 provincias: 쬨$PROVINCES$쬫;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_RELEASE_VASSAL_DESC_LIMIT;쬫 그리고 기타 등등.;쬫 and others.;쬫 ainsi que d'autres.;쬫 und andere.;;쬫 y otros.;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_RELEASE_VASSAL_TOOLTIP;쬨$TAG$쬦을(를) 쬨$TYPE$쬦(으)로 해방합니다. 쬨$TAG$쬫의 권역: 쬨$PROVINCES$쬦(쬨$NUM$쬦개);Release 쬨$TAG$쬦 as a 쬨$TYPE$쬦. 쬨$TAG$쬦 will receive the following 쬨$NUM$쬦 province(s): 쬨$PROVINCES$쬦;Lib쬦er 쬨$TAG$쬦 en tant que 쬨$TYPE$쬦.\n쬨$TAG$쬦 recevra 쬨$NUM$쬦 province(s) : 쬨$PROVINCES$쬦;쬨$TAG$쬦 als 쬨$TYPE$쬦 entlassen. 쬨$TAG$쬦 erh쬦t die folgende 쬨$NUM$쬦 Provinz: 쬨$PROVINCES$쬦;;Liberar 쬨$TAG$쬦 como 쬨$TYPE$쬦. 쬨$TAG$쬦 recibir쬦las siguientes 쬨$NUM$쬦 provincias: 쬨$PROVINCES$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_REVANCHSIM_TOOLTIP;보복주의: $PERCENT$%\n;Our revanchism is $PERCENT$%.\n;Notre revanchisme est de $PERCENT$%.\n;Unser Revanchismus ist $PERCENT$%.\n;;Tenemos un revanchismo del $PERCENT$%.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SATELLITE;위성국;Protectorate;Satellite;Satellitenstaat;;Sat쬦ite;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SELECT_NEW_RULER_PARTY;새 여당 선택;Select New Ruling Party;S쬦ectionner un nouveau parti dirigeant;Neue Regierungspartei ausw쬦len;;Elegir nuevo partido gobernante;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SET_RULING_PARTY_TOOLTIP;$PARTY$을(를) 여당으로 선택합니다.\n;Select $PARTY$ as our ruling party\n;S쬦ectionnez 쬨$PARTY$쬦 comme parti dirigeant de notre pays.\n;$PARTY$ als unsere Regierungspartei ausw쬦len\n;;Elegir como partido gobernante a: $PARTY$\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SHOW_REFORMS;개혁;Show Reforms;Afficher les r쬦ormes;Reformen anzeigen;;Mostrar Reformas;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SHOW_VASSALS;해방;Show Release Nations;Afficher les nations lib쬦쬦s;Entlassene Nationen anzeigen;;Mostrar Liberar naciones;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SOCIAL_REFORMS;사회개혁;Social Reforms;R쬦ormes sociales;Sozialreformen;;Reformas sociales;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SORT_BY_ISSUE_NAME_TOOLTIP;이름 순서대로 정렬합니다.;Sort list by issues;Classer la liste par position politique;Liste nach Themen sortieren;;Ordenar por temas;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SORT_BY_PEOPLE_TOOLTIP;총인구 순서대로 정렬합니다.;Sort list by how important it is to our population;Classer la liste par ordre d'importance pour notre population;Liste danach sortieren, wie wichtig es unserer Bev쬦kerung ist;;Ordenar la lista en funci쬦 de la importancia para nuestra poblaci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SORT_BY_VOTERS_TOOLTIP;유권자 순서대로 정렬합니다.;Sort list by how important it is to our voters;Classer la liste par ordre d'importance pour nos 쬦ecteurs;Liste danach sortieren, wie wichtig es unseren W쬦lern ist;;Ordenar la lista en funci쬦 de la importancia para nuestros votantes;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_SUPPORT_REFORM;$IDEOLOGY$: $POSITIVE$%가 찬성, $NEGATIVE$%가 반대합니다.(상원의 $PERCENT$% 차지)\n;$IDEOLOGY$: $POSITIVE$% votes yes, $NEGATIVE$% votes no.($PERCENT$% of upperhouse)\n;$IDEOLOGY$ : $POSITIVE$% de voix pour, $NEGATIVE$% de voix contre.\n($PERCENT$% de la Chambre haute)\n;$IDEOLOGY$: $POSITIVE$% Stimmen Ja, $NEGATIVE$% Stimmen Nein.($PERCENT$% des Oberhauses)\n;;$IDEOLOGY$: $POSITIVE$% de votos positivos, $NEGATIVE$% de votos negativos.($PERCENT$% de la c쬦ara alta)\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_TOTAL_SUPPORT_REFORM;상원의 $PERCENT$%가 찬성합니다.\n;$PERCENT$% of Upper House votes yes\n;$PERCENT$% de voix pour 쬦la Chambre haute.\n;$PERCENT$% der Oberhausstimmen Ja\n;;$PERCENT$% de la c쬦ara alta positivos\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_UPPERHOUSE;상원;Upperhouse;Chambre haute;Oberhaus;;C쬦ara alta;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_UPPERHOUSE_CHART_TOOLTIP;상원의 $PERCENT$%가 $IDEOLOGY$입니다.\n;$PERCENT$% of the upper house are $IDEOLOGY$\n;$PERCENT$% de la Chambre haute = $IDEOLOGY$\n;$PERCENT$% des Oberhauses sind $IDEOLOGY$\n;;El $PERCENT$% de la c쬦ara alta profesa la ideolog쬦 $IDEOLOGY$\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_VIEW_ALL_PARTIES_TOOLTIP;모든 정당 보기\n;View all parties\n;Afficher tous les partis\n;Alle Parteien anzeigen\n;;Ver todos los partidos\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_VOTERS;유권자;Voters;쬦ecteurs;W쬦ler;;Votantes;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_VOTERS_CHART_TOOLTIP;유권자의 $PERCENT$%가 $IDEOLOGY$입니다.\n;$PERCENT$% of the voters are $IDEOLOGY$\n;$PERCENT$% des votants = $IDEOLOGY$\n;$PERCENT$% der W쬦ler sind $IDEOLOGY$\n;;El $PERCENT$% de los votantes profesan la ideolog쬦 $IDEOLOGY$\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POLITICS_VOTERS_IDEOLOGIES;유권자들의 이념;Voters' Ideologies;Id쬦logies des 쬦ecteurs;W쬦lerideologien;;Ideolog쬦s de los votantes;;;;;;;;;x;;;;;;;;;;;;;;;;
POLL_ESTIMATED_ELECTION;예상 선거 결과;In an election we estimate the following result.;En cas d'쬦ection, nous nous attendons au r쬦ultat suivant.;In einer Wahl erwarten wir die folgenden Ergebnisse.;;;;;;;;x;;;;;;;;;;;;;;;;;;;
POLREFORM_1;$COUNTRY$의 정치개혁 시행;Political Reforms in $COUNTRY$;R쬦ormes politiques pour $COUNTRY$;Politische Reformen in $COUNTRY$;;Reformas pol쬦icas en $COUNTRY$;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_2;$MONARCHTITLE$, 드디어;$MONARCHTITLE$, we have now enacted;$MONARCHTITLE$, nous avons maintenant d쬦r쬦쬦Wir verf쬦ten nun;;$MONARCHTITLE$, hemos implantado:;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_3;$CATEGORY$에 대해;$ISSUE$;쬨$ISSUE$쬦;$ISSUE$;;$ISSUE$;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_4;$ISSUE$을(를);in;dans la cat쬦orie;in;;en;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_5;시행했습니다.;$CATEGORY$;$CATEGORY$;$CATEGORY$;;$CATEGORY$;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_6;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_1;$COUNTRY$의 정치개혁 후퇴;Political Reforms Revoked in $COUNTRY$;R쬦ormes sociales supprim쬦s pour $COUNTRY$;Politische Reformen aufgehoben in $COUNTRY$.;;Reformas pol쬦icas derogadas en $COUNTRY$;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_2;$MONARCHTITLE$, 슬픈 소식입니다.;$MONARCHTITLE$, we have now revoked benefits in;$MONARCHTITLE$, nous avons maintenant annul쬦les avantages de;Wir haben nun die Vorz쬦e von;;$MONARCHTITLE$, hemos revocado las reformas sociales en ;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_3;$CATEGORY$에 대한 개혁이;$CATEGORY$;$CATEGORY$;$CATEGORY$;;$CATEGORY$;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_4;$OLD$에서 $ISSUE$(으)로 후퇴했습니다.;from $OLD$ to $ISSUE$.;de $OLD$ 쬦$ISSUE$.;von $OLD$ auf $ISSUE$ zur쬦kgesetzt.;;de $OLD$ a $ISSUE$.;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_5;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_6;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_BTN1;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
POLREFORM_BAD_BTN2;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
POLREFORM_BAD_BTN3;참조;Goto;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_HEADER;$COUNTRY$ 정치 소식;Political News in $COUNTRY$;Nouvelles politiques de $COUNTRY$;Politische Neuigkeiten;;Noticias pol쬦icas en $COUNTRY$;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_LOG;우리나라가 $CATEGORY$에 대해 $OLD$을(를) $ISSUE$(으)로 후퇴시켰습니다.;We revoked $OLD$ in $CATEGORY$ to $ISSUE$.;Nous avons annul쬦$OLD$ de $CATEGORY$ pour $ISSUE$.;Wir setzten $OLD$ in $CATEGORY$ auf $ISSUE$ zur쬦k.;;Hemos remplazado $OLD$ en $CATEGORY$ por $ISSUE$.;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_MAP;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BAD_SETUP;정치개혁을 후퇴시켰을 때;When removing a political reform;Lors de la suppression d'une r쬦orme sociale;Wenn wir eine politische Reform aufheben.;;Cuando se deroga una reforma pol쬦ica;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BTN1;확인;확인;OK;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BTN2;확인;확인;OK;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_BTN3;참조;Goto;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_HEADER;$COUNTRY$ 정치 소식;Political News in $COUNTRY$;Nouvelles politiques de $COUNTRY$;Politische Neuigkeiten;;Noticias pol쬦icas en $COUNTRY$;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_LOG;우리나라가 $CATEGORY$에 대해 $ISSUE$을(를) 시행했습니다.;We enacted $ISSUE$ in $CATEGORY$.;Nous avons d쬦r쬦쬦$ISSUE$ pour $CATEGORY$.;Wir verf쬦ten $ISSUE$ in $CATEGORY$.;;Hemos implantado: $ISSUE$ en $CATEGORY$.;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_MAP;*;*;*;;*;;;;;;;;;x;;;;;;;;;;;;;;;;
POLREFORM_SETUP;정치개혁을 시행했을 때;When enacting a political reform;Lors du d쬦ret d'une r쬦orme sociale;Wenn wir eine politische Reform verf쬦en.;;Cuando se implanta una reforma pol쬦ica;;;;;;;;;x;;;;;;;;;;;;;;;;
POOR_MILITANCY_LESS_THAN;하류층 불만도 < ;Poor strata militancy less than ;Militantisme des classes d쬦avoris쬦s inf쬦ieur 쬦;Militanz der Unterschicht geringer als ;;Militancia de estrato pobre de menos de ;;;;;;;;;x;;;;;;;;;;;;;;;;
POOR_MILITANCY_MORE_THAN;하류층 불만도 > ;Poor strata militancy more than ;Militantisme des classes d쬦avoris쬦s sup쬦ieur 쬦;Militanz der Unterschicht h쬦er als ;;Militancia de estrato pobre de m쬦 de ;;;;;;;;;x;;;;;;;;;;;;;;;;
POOR_STRATA;하류층;Poor Strata;Classes d쬦avoris쬦s;Unterschicht;;Estrato pobre;;;;;;;;;x;;;;;;;;;;;;;;;;
POPDETAIL_NO_REBEL;반군 가담자 없음;No rebel affiliation;Aucune affiliation rebelle;Keine Verbindung mit Rebellen;;Ninguna afiliaci쬦 rebelde;;;;;;;;;x;;;;;;;;;;;;;;;;
POPULARITY_IS_ATLEAST_TRIGGER; 쬨$IDEOLOGY$쬦 ≥ 쬨$VALUE$쬦\n;쬨$IDEOLOGY$쬦 has popularity at least 쬨$VALUE$쬦.\n;La popularit쬦de 쬨$IDEOLOGY$쬦 est d'au moins 쬨$VALUE$쬦.\n;Die Beliebtheit von 쬨$IDEOLOGY$쬦 ist mindestens 쬨$VALUE$쬦.\n;;쬨$IDEOLOGY$쬦 tiene una popularidad m쬦ima de 쬨$VALUE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POPULARITY_IS_NOT_TRIGGER; 쬨$IDEOLOGY$쬦 < 쬨$VALUE$쬦\n;쬨$IDEOLOGY$쬦 does not have 쬨$VALUE$쬦 in popularity쬦.\n;La popularit쬦de 쬨$IDEOLOGY$쬦 n'a pas 쬦쬦de 쬨$VALUE$쬦쬦.\n;Der Beliebtheitswert von 쬨$IDEOLOGY$쬦 steht nicht bei쬦.\n;;쬨$IDEOLOGY$쬦 no tiene 쬨$VALUE$쬦 en popularidad쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POPULATION;인구;Population;Population;Bev쬦kerung;;Poblaci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POPULATION_CHANGED_BY;인구 변동:;Population changed by;쬦olution d쬦ographique :;Bev쬦kerung ge쬦dert um;;La poblaci쬦 ha cambiado en;;;;;;;;;x;;;;;;;;;;;;;;;;
POPULATION_DENSITY_AT_PROVINCE;쬨$PROV$쬦 총인구:;Total population in 쬨$PROV$쬦:;Population totale en 쬨$PROV$쬦 :;Gesamtbev쬦kerung in 쬨$PROV$쬦:;;;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_CASH;보유금;Cash Reserves;R쬦erves d'argent;Geldreserven;;Reservas de dinero;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_CHANGE;인구 변동;Population Change;쬦olution d쬦ographique;Bev쬦kerungsver쬦derung;;Cambio de poblaci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_CON;의식도;Consciousness;Conscience;Bewusstsein;;Conciencia;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_EVERY;일용품 욕구 충족;Fulfillment of Everyday Needs;Accomplissement des besoins quotidiens;Erf쬦lung von Alltagsbed쬦fnissen;;Satisfacci쬦 de necesidades cotidianas;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_IDE;이념;Ideologies;Id쬦logies;Ideologien;;Ideolog쬦s;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_ISS;쟁점;Issues;Probl쬦es;Probleme;;Temas;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_LIFE;생필품 욕구 충족;Fulfillment of Life Needs;Accomplissement des besoins vitaux;Erf쬦lung von Grundbed쬦fnissen;;Satisfacci쬦 de necesidades b쬦icas;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_LIT;문해율;Higher Education;Alphab쬦isation;Alphabetisierung;;Alfabetizaci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_LUXURY;사치품 욕구 충족;Fulfillment of Luxury Needs;Accomplissement des besoins de luxe;Erf쬦lung von Luxusbed쬦fnissen;;Satisfacci쬦 de lujos;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_MIL;불만도;Militancy;Militantisme;Militanz;;Militancia;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_RR;반군 파벌;Rebel faction;Faction rebelle;Rebellenfraktion;;Facci쬦 rebelde;;;;;;;;;x;;;;;;;;;;;;;;;;
POPV_SORT_BY_UNEMPLOYMENT;실업률;Unemployment;Ch쬦age;Arbeitslosigkeit;;Desempleo;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_ASSM;매달마다 쬨$NUM$쬦명이 쬨$TYPE$쬦(으)로 동화됩니다.;쬨$NUM$쬦 people will assimilate to 쬨$TYPE$쬦 each month;쬨$NUM$쬦 personnes seront assimil쬦s 쬨$TYPE$쬦 chaque jour;쬨$NUM$쬦 Menschen werden t쬦lich assimiliert zu: 쬨$TYPE$쬦;;쬨$NUM$쬦 persona(s) ser쬦n) asimilada(s) y se convertir쬦n) en 쬨$TYPE$쬦 cada mes;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_ASSM_FACTORS;동화 요인:;Assimilation Factors:;Facteurs d'assimilation :;Assimilierungsfaktoren:;;Factores de asimilaci쬦:;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_BUILDING;현재 건설계획: 쬨$TYPE$쬦\n;Current project: 쬨$TYPE$쬦\n;Projet actuel : 쬨$TYPE$쬦\n;Aktuelles Projekt: 쬨$TYPE$쬦\n;;Proyecto actual: 쬨$TYPE$쬦\n;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_BUILD_NEW_PROVINCEBUILDING;철도 투자;Investing in railways;Financement de voies ferr쬦s;Investiert in die Eisenbahn;;Invirtiendo en ferrocarriles;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_BUILD_NEW_STATEBUILDING;공장 투자;Investing in a new factory;Financement d'une nouvelle usine;Investiert in eine neue Fabrik;;Invirtiendo en una nueva f쬦rica;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_COLONIAL_MIGRATION;쬨$NUM$쬦명이 식민지 이민에 관심을 보입니다.;쬨$NUM$쬦 people intend to move to the colonies.;쬨$NUM$쬦 personnes ont l'intention de migrer vers les colonies.;쬨$NUM$쬦 Personen haben die Tendenz in eine unserer Kolonien zu migrieren.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_COLONIAL_MIGRATION_FACTORS;식민지 이민 요인:;Colonial migration factors:;Facteurs de migration coloniale :;Koloniale Migrationsfaktoren:;;Factores de emigraci쬦 a las colonias:;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_COLONIAL_MIGRATION_NONE;식민지 이민이 없습니다.;No colonial migration.;Aucune migration coloniale.;Keine koloniale Migration.;;Sin emigraci쬦 a las colonias.;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CONVERSION;매일마다 쬨$NUM$쬦명이 쬨$TYPE$쬦(으)로 개종합니다.;쬨$NUM$쬦 people will convert to 쬨$TYPE$쬦 each day;쬨$NUM$쬦 personnes seront converties 쬨$TYPE$쬦 chaque jour;쬨$NUM$쬦 Menschen konvertieren t쬦lich zur Religion: 쬨$TYPE$쬦;;쬨$NUM$쬦 persona(s) se convertir쬦n) al 쬨$TYPE$쬦 cada d쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CONVERSION_FACTORS;개종 요인;Conversion factors:;Facteurs de conversion :;Konvertierungsfaktoren:;;Factores de conversi쬦:;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CON_CHANGE_REBEL;쬨$PROV$쬦의 주민들은 쬟반군쬦의 통치를 받고 있습니다.\n의식도의 변화를 예측할 수 없습니다.;This pop is living in 쬨$PROV$쬦 that is under 쬟Rebels쬦 control.\nIt's consciousness change cannot be estimated.;Cette population vit en 쬨$PROV$쬦, sous contr쬦e des 쬟Rebels쬦 rebelles.\nPas d'estimation de la modification de la conscience nationale;Diese Bev쬦kerungseinheit lebt in 쬨$PROV$쬦, welches unter der Kontrolle von 쬟Rebellen쬦 ist.\nDie Bewusstseins쬦derung kann nicht ermittelt werden.;;;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CON_CLERGY;지식인;Clergy;Clerg쬦Klerus;;Clero;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CON_LITERACY;문해율;Higher Education;Alphab쬦isation;Alphabetisierung;;Alfabetizaci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CON_LUXURY_GOODS;사치품 구매;Luxury Goods Bought;Biens de luxe achet쬦;Luxusg쬦er gekauft;;Bienes de lujo adquiridos;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CON_TOTAL;월간 변동: ;Monthly Change: ;Changement mensuel : ;Monatliche Ver쬦derung: ;;Cambio mensual: ;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CULTURE;문화;Culture;Culture;Kultur;;Cultura;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_CURRENT_PROD;현재 생산품:;Current Production:;Production actuelle :;Aktuelle Produktion:;;Producci쬦 actual:;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_BANK;예치 금액: 쬨$VAL$쬦� ;Deposited in bank: 쬨$VAL$쬦� ;Banque nationale : 쬨$VAL$쬦� Nationalbank: 쬨$VAL$쬦� ;Depositado en el banco: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_EVENTS;사건: 쬨$VAL$쬦� ;Events: 쬨$VAL$쬦� 쬦쬦쬦ents : 쬨$VAL$쬦� Ereignisse: 쬨$VAL$쬦� ;Sucesos: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_EXPENSES;지출: 쬨$VAL$쬦� ;Expenses: 쬨$VAL$쬦� D쬦enses : 쬨$VAL$쬦� Ausgaben: 쬨$VAL$쬦� ;Gastos: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_INTEREST;저축 이자: 쬨$VAL$쬦� ;Savings Interest: 쬨$VAL$쬦� Int쬦쬦s d'쬦argne : 쬨$VAL$쬦� Sparzinsen: 쬨$VAL$쬦;;Inter쬦 de los ahorros: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_MONEY;일일 수입: 쬨$VAL$쬦� ;Daily Income: 쬨$VAL$쬦� Revenus quotidiens : 쬨$VAL$쬦� Tageseinkommen: 쬨$VAL$쬦� ;Ingresos diarios: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_NEEDS;욕구: 쬨$VAL$쬦� ;Needs: 쬨$VAL$쬦� Besoins : 쬨$VAL$쬦� Bed쬦fnisse: 쬨$VAL$쬦� ;Necesidades: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_PROJECT;건설계획: 쬨$VAL$쬦� 개;Projects: 쬨$VAL$쬦� Projets : 쬨$VAL$쬦� Projekte: 쬨$VAL$쬦� ;Proyectos: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_SALARY;봉급: 쬨$VAL$쬦� ;Salary: 쬨$VAL$쬦� Salaires : 쬨$VAL$쬦� Gehalt: 쬨$VAL$쬦� ;Salario: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DAILY_WELFARE;복지: 쬨$VAL$쬦� ;Welfare: 쬨$VAL$쬦� Allocations : 쬨$VAL$쬦� Wohlfahrt: 쬨$VAL$쬦� ;Bienestar: 쬨$VAL$쬦� ;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DEMOTION;매달마다 쬨$NUM$쬦명이 쬨$TYPE$쬦(으)로 강등됩니다.;쬨$NUM$쬦 people will demote to 쬨$TYPE$쬦 each month;쬨$NUM$쬦 personnes seront r쬦rograd쬦s 쬨$TYPE$쬦 chaque jour;쬨$NUM$쬦 Menschen werden t쬦lich zu 쬨$TYPE$쬦 degradiert.;;쬨$NUM$쬦 personas ser쬦 degradadas a 쬨$TYPE$쬦 cada mes;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DEMOTION_FACTORS;강등 요인:;Demotion factors:;Facteur de r쬦rogradation : ;Degradierungsfaktoren:;;Factores de degradaci쬦:;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DEMOTION_TARGET;고용 변동:;Change employment to:;Changer d'emploi pour : ;Arbeit 쬦dern zu:;;Cambiar empleo a:;;;;;;;;;x;;;;;;;;;;;;;;;;
POP_DETAILS_BANK;저축:;Savings:;쬦argne :;Ersparnisse:;;Ahorros:;;;;;;;;;x;;;;;;;;;;;;;;;;
