bankruptcy;파산;Bankruptcy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bankruptcy_l;파산;Bankruptcy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bankruptcy_desc;채무자들에게 파산을 선언해 이전의 부채를 무효화할 수 있게 허용합니다.;Debtors are allowed to declare bankruptcy and have their previous debts declared null and void.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_bankruptcy;채무자 감옥 폐지 운동;Debtor's Prisons Abolition Movement;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
capital_punishment;사형;Capital Punishment;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
capital_punishment_l;사형;Capital Punishment;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
capital_punishment_desc;비교적 경미한 범죄를 저지른 죄수더라도 사형을 선고합니다.;Convicts are killed for relatively minor crimes.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_capital_punishment;사형 찬성 연맹;Pro Capital Punishment League;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
penal_system;형벌제도;Penal System;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
penal_system_l;형벌제도;Penal System;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_transportation;유배형;Transportation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_transportation_l;유배형;Transportation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_transportation_desc;죄수들을 모국에서 멀고 살기 힘든지역 또는 식민지로 보냅니다.\n§Y해당 개혁은 관료의 필요성을 증대시키며 식민지 이주를 늘립니다.§W;;Prisoners are sent to either far away or inhospitable places in the mother-country or to its colonies. This, however, increases the load on the bureaucracy.\n§YThis reform will increase colonial migration but it will also increase the necessity of bureaucrats.§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_colonial_transportation;사형 폐지 운동;Campaign for the Abolition of Capital Punishment;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
incarceration;투옥형;Incarceration;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
incarceration_l;투옥형;Incarceration;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
incarceration_desc;바람직하지 못한 범법자들을 감옥에 수감해 사회와 격리합니다.\n§Y해당 개혁은 효과가 없습니다.§W;Convicts are imprisoned with the intent of removing undesirables from society, though they aren't used for hard manual labor most of the times.\n§YThis reform is neutral - no effects.§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_incarceration;Movement for the Abolition of Penal Colonies;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rehabilitation;갱생;Rehabilitation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rehabilitation_l;갱생;Rehabilitation;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rehabilitation_desc;죄수들을 갱생 및 사회 복귀를 위해 투옥합니다.;Convicts are imprisoned with the intent of reforming them and reintroducing them into society.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_rehabilitation;죄수 사회 복귀 운동;Rehabilitation of Prisoners Campaign;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME34608;아동노동법 통과;Child Labour Law Passed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTDESC34608;$YEAR$년 프로이센은 영국의 선례를 따라 그리고 일부 종교 및 사회 인사들의 영향을 받아 가능한 한 아동노동의 양을 엄격하게 규제하는 법을 통과시켰습니다. 새로운 법에 따르면 프로이센에서 9세 미만의 아동은 공장에서 노동할 수 없으며, 일하기 전부터 최소 3년 이상의 교육을 받아야 하며 16세 이하의 아동은 하루당 10시간 넘게는 일을 하지 못합니다. 다른 조항들은 의무적인 휴식시간을 규정하고 아동의 야간근무를 전면 금지했습니다.;Following Britain's lead, in $YEAR$ Prussia, under the influence of some religious and social figures, passed a law strictly regulating the amount of child labour that was possible during the year.  According to the new legislation, the Prussian government will lay down restrictions on child labor, with the following main points: children under the age of nine are banned from factory labor, children needed to have had at least three years of schooling before working, and children under the age of sixteen could work no more than ten hours per day. Other provisions included mandated rest times and a total ban on night work for children.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTA34608;불쌍한 아이들!;Those poor children!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTB34608;정말로 필요없다. 법을 폐지해야 한다.;This isn't really necessary. Revoke the law.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME3700;굴뚝 청소부;Chimney Sweepers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;
EVTDESC3700;'한 어린 소년이 굴뚝 안에서 일어나 조용히 지붕 위에 앉았습니다. 그의 얼굴과 옷은 굴뚝에서 나온 그을음으로 검게 그을려 있었고 이는 이 굴뚝이 그가 오늘 청소한 첫번째 굴뚝이 아님을 보여줬습니다. 지친 그는 옥상에서 내려와 1센트짜리 동전을 집부인에게 받은 후에 빠르게 떠났습니다.' \n\n 젊은 도시 굴뚝 청소부들의 힘든 일은 많은 사람들을 화나게 했고, 힘든 노동환경을 다루는 위원회를 구성하게 했습니다.;'A young boy arose from the inside of a chimney and gently sat down on the roof. His face and clothes were blackened by the soot from the chimney and showed that this was not the first chimney he had swept this day. Tired, he climbed down the roof and trotted off after receiving a penny from the house matron.' \n \n The hard work that the city's young chimney sweepers perform has outraged many, and a committee has been formed to tackle the rough working conditions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA3700;이 상황을 끝낼 법률을 고려해야 한다.;;We should consider legislation to end this.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;x;;;;;;;;;;;x
EVTOPTB3700;어려운 일은 훌륭한 도덕성의 근간이다.;Hard work is the foundation of a good moral character.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME370000002;긴 노동시간;Long Work Hours;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC370000002;'공장들은 경제적이고 거대한 감옥처럼, 공장을 측면으로 확장시킵니다. 그리고 내부는 가스 때문에 불이 붙고, 자신의 노동의 소리에 귀가 먼 채, 수천명의 노동자들이 느릿느릿 일하고, 펜으로 글을 쓰고, 대오를 맞춰 손은 활동적이지만 발은 움직이지 않은채 하루종일 기계적으로 기계를 작동시킵니다. 도시 노동자들의 힘든 일은 많은 사람들을 화나게 했고, 힘든 노동환경을 다루는 위원회를 결성하게 했습니다.;'The factories extend their flanks of fouler brick one after another, bare, with shutterless windows, like economical and colossal prisons... and inside, lit by gas-jets and deafened by the uproar of their own labour, toil thousands of workmen, penned in, regimented, hands active, feet motionless, all day and every day, mechanically serving their machines...' \n The hard work that the city's workers perform has outraged many, and a committee has been formed to tackle the rough working conditions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA370000002;이를 바꿀 법을 고려해야 한다.We should consider legislation to change this.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB370000002;힘든 일은 훌륭한 도덕성의 근간이다.;Hard work is the foundation of a good moral character.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_TAKE_NAME_RUS_CIR;$ORDER$카프카스 전쟁;$ORDER$ Caucasian War;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_RUS_CIR;$ORDER$카프카스 전쟁;$ORDER$ Caucasian War;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_TAKE_NAME_RUS_DAG;$ORDER$카프카스 전쟁;$ORDER$ Caucasian War;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_RUS_DAG;$ORDER$카프카스 전쟁;$ORDER$ Caucasian War;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
secularized_desc;종교가 분명히 국가정책의 일부는 아니지만, 국가는 전통적인 종교적 가치에 경의를 표합니다.;Religion is not explicitly part of state policy, but the state tips its hat to traditional religious values.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dismantle_declared;해체 선언;Dismantled;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
in_great_war;세계대전;In a Great War;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_colonial_country;식민지 후신국;Post-Colonial Nation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
school_reforms;교육제도;School System;Système d'éducation;Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_schools;교육제도 없음;No School System;Système inexistant;Kein Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_schools;교육제도 기본적;Basic School System;Système de base;Einfaches Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_schools;교육제도 충분;Acceptable School System;Système acceptable;Akzeptables Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_schools;교육제도 좋음;Good School System;Système de bon niveau;Gutes Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_schools_l;교육제도 없음;No School System;Système d'éducation inexistant;Kein Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_schools_l;교육제도 기본적;Basic School System;Système d'éducation de base;Einfaches Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_schools_l;교육제도 충분;Acceptable School System;Système d'éducation acceptable;Akzeptables Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_schools_l;교육제도 좋음;Good School System;Système d'éducation de bon niveau;Gutes Schulsystem;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_schools_desc;공립학교가 없습니다.;No public Schools.;Pas d'écoles publiques.;Keine öffentlichen Schulen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_schools_desc;공립학교가 드뭅니다.;Public Schools are uncommon.;Les écoles publiques sont rares.;Öffentliche Schulen sind nicht verbreitet.;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_schools_desc;공립학교가 흔합니다.;Public Schools are common.;Les écoles publiques sont fréquentes.;Öffentliche Schulen sind verbreitet.;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_schools_desc;공립학교가 많습니다.;There are really a lot of Public Schools.;Il y a beaucoup d'écoles publiques.;Es gibt wirklich viele öffentliche Schulen.;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
womens_suffrage_movement;여성참정권 운동;Women's Suffrage Movement;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
assyrian;아시리아;Assyrian;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xhosa;호사;Xhosa;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arabic;아랍;Arabic;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
breton;브르타뉴;Breton;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pan_albanian;알바니아;Albanian;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
occitan;옥시타니아;Occitan;Occitain;Occitanisch;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
picard;피카르디;Picard;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
western_slavic;벤드;Wend;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anglo_african;영국계 아프리카;Anglo African;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewish_cultures;유대;Jewish Cultures;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
itsekari;이조;Ijaw;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kuba;바쿠바;Bakuba;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mormon;모르몬;Mormon;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_title;분리주의 반군;Patriot;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_name;$CULTURE$ 분리주의 반군;$CULTURE$ Patriots;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_desc;분리주의 반군들은 자신의 지역이 모국의 깃발 아래 통합되기를 꿈꿉니다. 그들이 장악한 지역은 그들의 모국에 합류할 것입니다.;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_army;$CULTURE$ 분리주의 반군;$CULTURE$ Patriots;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indian_nationalists_title;범민족주의자;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indian_nationalists_name;범민족주의자;Indian Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indian_nationalists_desc;범민족주의자들은 어떤 방법으로든 자신의 나라를 자유롭고 독립적인 민족국가로 통합하려고 합니다. 이것은 외세의 억압으로부터의 해방과 문화적 혈연과의 결합을 포함합니다.;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indian_nationalists_army;범민족주의자;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socialist_rebels_title;호전적 사회주의자;Militant Socialist;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socialist_rebels_name;호전적 사회주의자;Militant Socialists;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socialist_rebels_desc;호전적 사회주의자들은 민주제 하에서 사회주의 정부를 추구할 것입니다. 이들은 국가를 막론하고 사회주의 정부가 통치하는 민주주의 국가를 위해 노력할 것입니다.;In a democracy, militant socialists will seek to enforce a socialist government. In any other country, they will seek to establish a democracy with a socialist government.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socialist_rebels_army;호전적 사회주의자;Militant Socialists;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
christino_rebels_title;크리스티노;Christino;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
christino_rebels_name;크리스티노;Christinos;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
christino_rebels_desc;크리스티노들은 페르난도 7세의 왕조를 지지하며 현 왕조를 찬탈자로 간주합니다. 그들은 페르난도 7세의 딸인 크리스티나를 복위시키려 하며, 현 왕실이 추진한 진보적 개혁도 폐지하려고 합니다.;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
christino_rebels_army;크리스티노;Christinos;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
independence_rebels_title;독립군;Independence;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
independence_rebels_name;독립군;Independence Rebels;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
independence_rebels_desc;독립군들은 자신의 조국을 속국에서 벗어나게끔 하기 위해 노력합니다.;These rebels seek to free the country from its vassal status.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
independence_rebels_army;독립군;Independence Rebels;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turkish_nationalist_rebels_title;튀르크 민족주의자;Turkish Nationalist;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turkish_nationalist_rebels_name;튀르크 민족주의자;Turkish Nationalists;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turkish_nationalist_rebels_desc;튀르크 민족주의자들은 오스만 제국을 무너뜨리고 자유주의적 공화국을 수립하려 합니다.;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turkish_nationalist_rebels_army;튀르크 민족주의자;Turkish Nationalists;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_rebels_title;반식민지 반군;Anti-Colonial;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_rebels_name;반식민지 반군;Anti-Colonial Rebels;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_rebels_desc;반식민지 반군들은 자신의 나라에 대한 통치권을 토착 문화에게 되돌려주려 합니다.;These rebels seek to restore rulership of the country to its proper native culture.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_rebels_army;반식민지 반군;Anti-Colonial Rebels;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liberal_rebels_desc;자코뱅파는 전제군주제 하에서 입헌군주제를 시행하려 합니다. 그 다음에는 자유주의적 이념과 정치개혁에 초점을 맞춘 민주정부를 수립하기 위해 노력할 것입니다.;In an absolute monarchy, Jacobins will seek to impose a constitutional monarchy. Otherwise, Jacobins will strive to create a democratic government with a liberal ideology and a focus on political reform.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME;$ORDER$$SECOND_COUNTRY$ 정복전쟁;$ORDER$Conquest of $SECOND$ War;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME;$ORDER$$FIRST_COUNTRY$의 $SECOND_COUNTRY$ 침공;$ORDER$War of $FIRST$ Aggression against $SECOND_COUNTRY$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RANK_INDUSTRY_D;산업력은 국가의 산업화 수준에 대한 척도입니다. 직공+사무원의 수를 2500으로 나눈 값과 해외 투자를 합쳐 계산합니다.;Industry score is a measure of your level of industrialization. It is a combination of the number of employed craftsmen and clerks, divided by 2500, and the value of your foreign investment.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
feudal;Feudal System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
desc_feudal;"Feudalism was a set of political and military customs.  Although derived from the Latin word feodum,  then in use, the term feudalism and the system it describes were not conceived of as a formal political system by the people living in the Medieval Period. In its classic definition, by François-Louis Ganshof (1944), feudalism describes a set of reciprocal legal and military obligations among the warrior nobility, revolving around the three key concepts of lords, vassals and fiefs. There is also a broader definition, as described by Marc Bloch (1939), that includes not only warrior nobility but the peasantry bonds of manorialism, sometimes referred to as a ""feudal society"". Because of multiple definitions and other issues, many now see the concept of feudalism as deprived of specific meaning, which has led in recent decades to many historians and political theorists rejecting feudalism as a useful way for understanding society.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
merchant_republic;Merchant Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
merchant_republic_ruler;Your Excellency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
feudal_monarchy;Feudal Monarchy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
